id,trans
filename,scene_evt220228_cp7_q4_s10
translator,Insli
info,scene_evt220228_cp7_q4_s10
111,又是一天日薄西山，\n科斯莫斯的低声细语也随着\n落日淹没在黄昏的余晖之中。
110,只不过，我……\n对于这个空之世界而言……又是何物……
109,科斯莫斯的本体，\n存在于星之世界之中。
108,听罢路西菲尔的解释\n科斯莫斯微微摇了摇头。
107,妳也成为了改变空之世界的一部分。\n妳促进着进化，参与活动其中的一员。
106,进化不仅仅是星晶兽中发生\n还会促进人咧技术的进步\n世界随之改变……
105,你如今赋予了星晶兽们\n自我进化的能力。
104,我吗……？
103,……但是，妳不也\n是这个世界的一部分？
102,我一直是世界平衡的维持者……\n公正而无情。
101,后悔？……\n科斯莫斯的调停里没有“后悔”这个词。
100,妳后悔了吗？
99,战斗永不终止……\n然而，他们的愿望好像是这样的吧……
98,之后，人类他们又会\n带着新的力量归来……
86,打不过了……撤退！\n快撤退啊！
77,在绝望中喘息吧……激流葬！
76,此乃深渊之底……\n地狱之盖业已开启。
75,怎么回事……星晶兽这家伙\n力量变强了啊……！？
74,呜，呜啊啊啊啊啊啊！？
71,人类们……领教我全新的力量吧……！
64,这力量是——
38,接受吧。\n这崭新的力量。
37,生于空之世界的星晶兽啊……
36,进化？
35,我赋予你进化之力。
34,（我赋予了）你随着人类力量变化的能力\n可以对抗他们了。
33,你在说什么？\n你对我做了什么？
32,无尽的争斗，\n一定程度上也可以说\n可能是一种的和谐状态吧。
31,<span class='scene-font-4'>呃！？</span>\n怎么了，这是……？
27,……我明白了。
26,真是窝囊。
25,那样的话我……
24,人类的力量，是变化的力量。\n他们学习、吸收和创造……\n在未来，你会遭到更猛烈的袭击。
23,……我有预感……继续这样下去，早晚\n原本的职责将会遇到致命的困难\n而无法履行下去……
22,所谓的……\n不灭之力……不变之力……\n不变的……职责。
21,因此，本来应为罪罚审判者的我\n却好像一直备受试炼……
20,人类屡屡回访我的居所，\n每次再见他们的力量俱增。
19,"焦躁不安？ "
18,这……怎么形容……\n焦躁不安的感觉……
17,没有这样的事\n不……并没有这么想过……
16,就没有半点不甘或者疑问吗……\n一点也没有？
15,我拥有不灭神性的力量。\n我是为了净化人类而生\n裁决不净者之造物。
14,我不明白你这么问的意义所在。
13,妳……在这无休止而重复不断的\n战斗与痛楚里，如今仍安于现状？
12,我有一事想问\n星晶兽沃胡·摩那。
11,……跟你一样，\n也是困于星域与空域罅隙之间的存在。
10,是不灭之魂的气息……\n你，难道是星晶兽？
9,……呃呵……？
8,就算星民们撤退了以后，\n你还在履行战斗的使命啊。
4,战斗是无可避免的。\n试炼不净之物\n这是我的职责。然而……
3,骑空士们离开后，\n一头星晶兽的呻吟在战场上空回响。
2,呜呜呜呜……
0-synopsis,科斯莫斯在历受无尽战火洗礼的星晶兽面前显现，并询问后者的愿望。见到日益强大的空之民拥有进化之力，星晶兽祈求更强大的力量。听到如此诉求，科斯莫斯遂赋予了星晶兽们自主进化的能力。这样既保持了双方力量的均衡，也实现了星晶兽们的愿望，但毫无疑问也点燃起无尽的战火，科斯莫斯遂为自己的调停正当性而苦恼。
0-chapter_name,第三话 纠结摇摆的心
